KIND OF MEDICINE,Item Name,MRP,Landing Cost,Batch No,Expiry Date,Current Stock,COMPANY,Sales Person,Sale Qty,Sale Rate
pcs,FULZOS 250 MG INJECTION,17600.0,2300.0,OI24297,2026-11-01,0,HETERO HEALTH CARE,,,
pcs,HERTAB 250MG,6545.0,1450.0,AT25054A,2026-12-01,0,HETERO HEALTH CARE,,,
pcs,HERTAB 250MG,7166.0,1450.0,AT25180A,2027-03-01,0,HETERO HEALTH CARE,,,
pcs,HERTAB 250MG,7166.0,1450.0,AT25310A,2028-05-01,0,HETERO HEALTH CARE,,,
pcs,HERTAB 250MG,7166.0,1500.0,AT25180A,2027-03-01,0,HETERO HEALTH CARE,,,
CREAM,IMIDIL SKIN CREAM 15GM,43.25,33.56,GM24797A,2026-08-01,0,HETERO HEALTH CARE,,,
TABLET,NAIVEX 50MG TAB,2765.63,540.0,HH2511589A,2027-10-01,0,HETERO HEALTH CARE,,,
pcs,PEMETERO 500MG,2756.25,1113.0,OL25014,2026-12-01,0,HETERO HEALTH CARE,,,
pcs,PEMETERO 500MG,2756.25,1113.0,OL25030,2027-01-01,0,HETERO HEALTH CARE,,,
pcs,PEMETERO 500MG,2940.0,1164.8,OL25030,2027-01-01,0,HETERO HEALTH CARE,,,
pcs,PEMETERO 500MG,2940.0,1187.2,OL25014,2026-12-01,0,HETERO HEALTH CARE,,,
pcs,PICLIB-125MG,7801.87,1300.01,AC25322A,2027-05-01,0,HETERO HEALTH CARE,,,
pcs,PICLIB-125MG,7600.0,1355.0,AC25154A,2027-02-01,0,HETERO HEALTH CARE,,,
pcs,PICLIB-125MG,7600.0,1403.0,AC25067A,2027-01-01,0,HETERO HEALTH CARE,,,
pcs,PICLIB-125MG,7600.0,1425.0,AC25021A,2026-12-01,0,HETERO HEALTH CARE,,,
pcs,PICLIB-125MG,7600.0,1500.0,AC25021A,2026-12-01,0,HETERO HEALTH CARE,,,
pcs,TAFERO EM- 25MG,1943.0,800.0,HH2501005,2026-12-01,0,HETERO HEALTH CARE,,,
pcs,TAFERO EM- 25MG,1943.0,1943.0,HH2307316,2025-06-01,1,HETERO HEALTH CARE,,,
pcs,TAFERO EM- 25MG,1943.0,1943.0,HH2307330,2025-06-01,2,HETERO HEALTH CARE,,,
pcs,TENOF 300MG,1539.5,210.0,2GT25073A,2027-01-01,0,HETERO-ARV,,,
mg,TRUSTIVA TAB 300MG,3800.0,580.0,GT25583A,2028-06-01,0,HETERO-ARV,,,
mg,TRUSTIVA TAB 300MG,3562.5,590.0,GT25583A,2028-06-01,0,HETERO-ARV,,,
pcs,CYSTONE TAB,235.0,161.5,111250012,2027-12-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,161.5,111250078,2027-12-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,161.5,111250082,2027-12-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,161.5,111250161,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,161.5,372500073,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,161.5,372500076,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,161.5,372500197,2028-03-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,165.5,111250235,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,165.5,111250236,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,165.5,372500085,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,165.5,372500090,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,165.5,372500091,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,165.5,372500195,2028-03-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,235.0,171.91,111250161,2028-01-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,178.68,106250507,2028-04-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,178.68,106250508,2028-04-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,178.68,111250886,2028-06-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,178.68,111250887,2028-06-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,188.08,106250623,2028-05-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,188.08,106250641,2028-05-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,188.08,106250642,2028-05-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,188.08,372500348,2028-04-01,0,HIMALAYA,,,
pcs,CYSTONE TAB,260.0,188.08,372500373,2028-05-01,0,HIMALAYA,,,
pcs,PILEX FORTE OINTMENT,145.0,102.72,442500194,2028-01-01,0,HIMALAYA,,,
pcs,PILEX FORTE OINTMENT,145.0,106.72,442402202,2027-11-01,0,HIMALAYA,,,
pcs,PILEX FORTE OINTMENT,145.0,106.72,442500194,2028-01-01,0,HIMALAYA,,,
pcs,PILEX TAB,230.0,169.27,106250259,2028-02-01,0,HIMALAYA,,,
AMP,ABHAYTOX 0.5ML,12.64,9.11,KN22134,2025-07-01,0,HUMAN BIOLOGICALS INSTITUTE,,,
IU,INCEPTOVA-HCG 5000 IU,426.66,0.01,GICB2303,2026-07-01,0,HUMAN BIOLOGICALS INSTITUTE,,,
IU,INCEPTOVA-HCG 5000 IU,445.98,145.75,SHCB2501,2028-03-01,0,HUMAN BIOLOGICALS INSTITUTE,,,
IU,INCEPTOVA-HCG 5000 IU,438.32,156.16,SHCB2401,2027-03-01,0,HUMAN BIOLOGICALS INSTITUTE,,,
pcs,TEDDYVAC 0.5ML,24.5,24.5,23GTDS006,2026-08-01,70,HUMAN BIOLOGICALS INSTITUTE,,,
pcs,HEMALB 20% 100ML,9369.0,3517.5,AL25024AD/PK1,2028-04-01,0,ICHOR,,,
pcs,HEMALB 20% 100ML,9369.0,3549.0,AL25022ADPK1,2028-04-01,0,ICHOR,,,
pcs,HEMALB 20% 100ML,9898.0,3549.0,AL25028ADPK1,2028-05-01,0,ICHOR,,,
pcs,HEMALB 20% 100ML,9369.0,3570.0,AL25022ADPK1,2028-04-01,0,ICHOR,,,
pcs,HEMALB 20% 100ML,9369.0,3622.5,AL25015ADPK2,2028-03-01,0,ICHOR,,,
pcs,HEMALB 20% 100ML,9369.0,3622.5,AL25016ADPK1,2028-03-01,0,ICHOR,,,
pcs,HEMALB 20% 100ML,9369.0,3675.0,AL25026ADPK1,2028-05-01,0,ICHOR,,,
TABLET,COGNIFAST TAB,255.0,193.8,CMT250281,2027-01-01,0,ICON DRUGS(P)LTD,,,
IU,ABHAYRAB 2.5 IU,397.62,245.93,KA25012,2028-02-01,0,INDIAN IMMUNOLOGICALS LTD.,,,
IU,ABHAYRAB 2.5 IU,397.62,245.93,KA25016,2028-02-01,0,INDIAN IMMUNOLOGICALS LTD.,,,
IU,ABHAYRAB 2.5 IU,397.62,280.94,23URAB071,2026-08-01,0,INDIAN IMMUNOLOGICALS LTD.,,,
IU,ABHAYRAB 2.5 IU,397.62,280.94,KA23073,2026-09-01,0,INDIAN IMMUNOLOGICALS LTD.,,,
IU,ABHAYRAB 2.5 IU,397.62,280.94,KA23081,2026-10-01,0,INDIAN IMMUNOLOGICALS LTD.,,,
IU,ABHAYRAB 2.5 IU,397.62,281.06,24URAB048,2027-05-01,0,INDIAN IMMUNOLOGICALS LTD.,,,
IU,ABHAYRAB 2.5 IU,397.62,281.06,KA24072,2027-10-01,0,INDIAN IMMUNOLOGICALS LTD.,,,
pcs,INCEPTOVA-FSH 150IU,2050.0,1317.86,GIUB2202,2025-11-01,27,INDIAN IMMUNOLOGICALS LTD.,,,
IU,INCEPTOVA-FSH 75 IU,980.0,196.46,SHUA2403,2027-07-01,0,INDIAN IMMUNOLOGICALS LTD.,,,
SYRUP,CYCLOPAM SUSP 60ML,103.0,79.1,25330005,2027-06-01,0,INDICO LABORATORIES PVT. LTD,,,
TABLET,BROM 2.5MG TAB,304.15,231.15,I501125,2027-02-01,0,INGA LABORATORIES PVT LTD,,,
TABLET,BUSPIN 10MG TAB,62.34,45.79,V2500311,2028-10-01,0,INTAS LABORATORIES PVT LTD,,,
TABLET,BUSPIN 10MG TAB,66.5,48.84,N2500348,2028-01-01,0,INTAS LABORATORIES PVT LTD,,,
TABLET,BUSPIN 5MG TAB,40.75,29.93,V2401316,2027-10-01,0,INTAS LABORATORIES PVT LTD,,,
TABLET,ENTACOM PLUS 50MG TAB,110.86,81.95,L1524762,2027-11-01,0,INTAS LABORATORIES PVT LTD,,,
TABLET,ENTACOM PLUS 50MG TAB,110.86,82.0,L1525237,2028-03-01,0,INTAS LABORATORIES PVT LTD,,,
mg,AZADINE 100MG INJ,4929.84,800.0,M2507213,2027-07-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5422.5,800.0,M2507213,2027-07-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5422.5,800.0,M2508039,2027-08-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5422.5,800.0,M2508108,2027-08-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5258.5,840.0,M2407636,2026-07-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5258.5,869.99,M2409176,2026-09-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5258.5,880.0,M2500329,2026-12-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5258.5,880.0,M2502289,2027-02-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5258.5,880.0,M2502290,2027-02-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5422.5,262.5,M2507213,2027-07-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5422.5,262.5,M2508039,2027-08-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,5422.5,262.5,M2508108,2027-08-01,0,INTAS PHARMA,,,
mg,AZADINE 100MG INJ,4929.84,454.86,M2507213,2027-07-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,5974.99,24030113,2028-07-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,5974.99,24030114,2028-10-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6100.01,24030113,2028-07-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6200.0,24030104,2027-12-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6200.0,24030105,2028-01-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6350.0,24030110,2028-05-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6400.0,24030106,2028-03-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6400.0,24030107,2028-03-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6400.0,24030108,2028-03-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6450.0,24030110,2028-05-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6500.0,24030101,2027-08-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6500.0,24030106,2028-03-01,0,INTAS PHARMA,,,
pcs,BEVATAS 400MG,56991.0,6700.0,24030105,2028-01-01,0,INTAS PHARMA,,,
CAPSULES,CALGEL CAP,285.0,28.02,SOD-2656,2027-01-01,0,INTAS PHARMA,,,
mg,CARBOPA 450MG INJ,2839.58,1459.99,M2505286,2027-05-01,0,INTAS PHARMA,,,
mg,CARBOPA 450MG INJ,2839.58,1459.99,M2505386,2027-05-01,0,INTAS PHARMA,,,
tablets,CLONIL- 10 MG,28.45,17.76,N2300371,2026-01-01,0,INTAS PHARMA,,,
pcs,DECINTAS 50MG,5656.75,1800.0,DDBAS0424,2026-10-01,0,INTAS PHARMA,,,
pcs,ELEFTHA 150 MG,6924.5,2400.0,26020053,2027-05-01,0,INTAS PHARMA,,,
pcs,ELEFTHA 150 MG,6924.5,2500.0,26020053,2027-05-01,0,INTAS PHARMA,,,
pcs,ELEFTHA-440 MG,20482.24,6599.99,26030162,2027-11-01,0,INTAS PHARMA,,,
pcs,ESENTRA 120MG,29040.0,7800.0,23210024,2027-03-01,0,INTAS PHARMA,,,
pcs,ESENTRA 120MG,29040.0,7900.0,23210022,2027-02-01,0,INTAS PHARMA,,,
mg,GLYCOLATE 1MG,117.0,89.85,K2500100,2026-12-01,0,INTAS PHARMA,,,
mg,GLYCOLATE 1MG,117.0,89.85,K2501324,2027-05-01,0,INTAS PHARMA,,,
mg,INTACEPT 25 MG INJ,5714.0,1450.0,13020053,2027-06-01,0,INTAS PHARMA,,,
mg,INTACEPT 50MG INJ,11429.0,2850.0,13030087,2028-01-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG /1.0 ML,587.55,94.99,1470298,2028-03-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG /1.0 ML,587.55,95.0,1470302,2028-04-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1239.17,110.0,4480239,2028-10-01,100,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1239.17,112.0,4480226,2028-04-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1239.17,112.0,4480228,2028-05-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1239.17,115.0,4480228,2028-05-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1239.17,115.0,4480229,2028-06-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1239.17,115.0,4480232,2028-07-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1239.17,115.0,4480235,2028-09-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,118.0,4480214,2027-12-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,118.0,4480215,2027-12-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,120.0,4480209,2027-10-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,120.0,4480213,2027-12-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,120.0,4480214,2027-12-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,123.0,4480227,2028-05-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,125.0,4480151,2026-05-01,2,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,125.0,4480189,2027-05-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,125.0,4480207,2027-10-01,0,INTAS PHARMA,,,
pcs,NEUKINE 300 MCG PFS,1299.17,125.0,4480216,2027-12-01,0,INTAS PHARMA,,,
TABLET,NORTAS CR 10MG TAB,163.0,125.19,25S2HTA098,2026-12-01,0,INTAS PHARMA,,,
mg,PEGADRIA 20 MG,3829.5,1350.0,P2501390,2026-10-01,0,INTAS PHARMA,,,
mg,PEGADRIA 20 MG,3829.5,1522.5,P2501259,2026-10-01,0,INTAS PHARMA,,,
mg,PEGADRIA 20 MG,3829.5,1522.5,P2501390,2026-10-01,0,INTAS PHARMA,,,
INJ,PEGADRIA 50MG INJ,10406.0,3150.0,P2501340,2026-10-01,0,INTAS PHARMA,,,
mg,PICASA-GR 100MG TAB,6039.0,1400.0,DRF01184A,2026-12-01,0,INTAS PHARMA,,,
mg,PICASA-GR 100MG TAB,6039.0,1400.0,DRF06578A,2027-05-01,0,INTAS PHARMA,,,
pcs,PTH 30MG TAB,888.5,276.79,N2402681,2027-08-01,0,INTAS PHARMA,,,
pcs,PTH 30MG TAB,915.94,300.0,N2500235,2027-12-01,0,INTAS PHARMA,,,
pcs,PTH 30MG TAB,977.0,300.0,N2500235,2027-12-01,0,INTAS PHARMA,,,
pcs,PTH 30MG TAB,832.97,357.0,N2401319,2027-04-01,0,INTAS PHARMA,,,
pcs,PTH 30MG TAB,915.94,385.0,N2501394,2028-03-01,0,INTAS PHARMA,,,
pcs,PTH 30MG TAB,915.94,399.0,N2501394,2028-03-01,0,INTAS PHARMA,,,
pcs,PTH 30MG TAB,915.94,400.0,N2501394,2028-03-01,0,INTAS PHARMA,,,
pcs,RAZUMAB INJ,15937.5,4600.01,18020171,2028-08-01,0,INTAS PHARMA,,,
pcs,RENOCEL 4000 INJ,1936.0,104.16,11020268,2026-11-01,0,INTAS PHARMA,,,
pcs,RENOCEL 4000 INJ,2129.0,104.16,11020268,2026-11-01,0,INTAS PHARMA,,,
pcs,RENOCEL 4000 INJ,2129.0,104.16,11020276,2027-02-01,0,INTAS PHARMA,,,
pcs,ROMY 250 INJ,3736.17,1140.0,28030090,2028-04-01,0,INTAS PHARMA,,,
,ROMY 500 MG,7359.38,2379.99,28090012,2027-02-01,0,INTAS PHARMA,,,
pcs,SILOTIME 4 (15TAB),240.5,171.79,PLIBX01,2026-05-01,0,INTAS PHARMA,,,
pcs,ZORYL M-2 FORTE TAB,235.0,167.86,00,2026-04-01,0,INTAS PHARMA,,,
TABLET,PREGABID NT TAB,397.5,305.28,N2401884,2026-06-01,0,INTAS PHARMA/CENTRAL,,,
TABLET,PREGABID NT TAB,397.5,311.64,N2403306,2027-11-01,0,INTAS PHARMA/CENTRAL,,,
pcs,OLIMAB 60MG INJ-PFS,14053.13,4799.99,2311029,2028-06-01,0,INTAS PHARMA/INTAS WESTERN ONE,,,
INJ,FOLISURGE 75 IU,2456.0,585.01,7380041,2027-06-01,0,INTAS PHARMACEUTICALS LTD,,,
INJ,FOLISURGE 75 IU,2302.5,600.01,7380038,2027-01-01,0,INTAS PHARMACEUTICALS LTD,,,
INJ,FOLISURGE 75 IU,2302.5,600.01,7380040,2027-03-01,0,INTAS PHARMACEUTICALS LTD,,,
INJ,FOLISURGE 75 IU,2302.5,600.01,7380041,2027-06-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,LONITAB 2.5MG TAB,199.5,151.62,INP24CY24,2026-11-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,LONITAB 2.5MG TAB,199.5,151.62,INP25CY02,2026-12-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,LONITAB 2.5MG TAB,199.5,151.62,INP25CY03,2027-01-01,0,INTAS PHARMACEUTICALS LTD,,,
TABLET,REJUNEX CD3 NF TAB,249.38,193.52,K2501256,2027-04-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,TENIVA 20 TAB,236.88,181.92,N2502769,2028-07-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,TENIVA 20 TAB,236.88,181.92,N2503547,2028-10-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,TENIVA 20 TAB,248.4,190.77,N2500792,2028-02-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,TENIVA 20 TAB,252.67,192.03,N2501743,2028-04-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,TENIVA 20 TAB,248.4,198.72,N2403090,2027-10-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,TENIVA 20 TAB,252.67,202.14,N2501743,2028-04-01,0,INTAS PHARMACEUTICALS LTD,,,
CAPSULES,VASFREE 100 CAP,145.0,107.58,N2500748,2027-02-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,VELTAM PLUS TAB,573.0,435.48,N2501983,2028-05-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,VELTAM PLUS TAB,573.0,440.07,N2403273,2027-10-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,VELTAM PLUS TAB,573.0,440.07,N2501616,2028-04-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,VELTAM PLUS TAB,573.0,440.07,N2501617,2028-04-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,VELTAM PLUS TAB,590.63,444.15,H2504139,2028-11-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,VELTAM PLUS TAB,590.63,453.6,N2502553,2028-07-01,0,INTAS PHARMACEUTICALS LTD,,,
pcs,STILOZ 50,335.62,257.76,SZ1TI506,2027-02-01,0,Integrace Pvt Ltd,,,
pcs,STILOZ 50,335.63,257.76,SZ1TI515,2027-08-01,0,Integrace Pvt Ltd,,,
pcs,STILOZ 50,358.0,274.94,SZ1TI503,2027-02-01,0,Integrace Pvt Ltd,,,
pcs,STILOZ 50,335.63,283.01,SZ1TI517,2027-11-01,0,Integrace Pvt Ltd,,,
pcs,NOCTIWIN NASAL SPRAY,1359.0,258.72,NND0223,2027-07-01,0,INTRA LIFE,,,
pcs,NOCTIWIN NASAL SPRAY,1350.0,271.04,NND0090,2027-02-01,0,INTRA LIFE,,,
TABLET,AZR TAB,118.23,90.79,050225,2028-01-01,0,IPCA LABORATORIES LTD,,,
TABLET,AZR TAB,118.23,90.79,090325,2028-02-01,0,IPCA LABORATORIES LTD,,,
TABLET,AZR TAB,118.23,90.79,151124,2027-10-01,0,IPCA LABORATORIES LTD,,,
TABLET,AZR TAB,118.23,90.8,051024,2027-09-01,0,IPCA LABORATORIES LTD,,,
TABLET,AZR TAB,120.33,92.41,040725,2028-06-01,0,IPCA LABORATORIES LTD,,,
TABLET,AZR TAB,120.33,92.41,050825,2028-07-01,0,IPCA LABORATORIES LTD,,,
TABLET,AZR TAB,120.33,93.38,010625,2028-05-01,0,IPCA LABORATORIES LTD,,,
pcs,HYQ 400,147.42,113.22,HGL0725002BH,2027-04-01,0,IPCA LABORATORIES LTD,,,
pcs,HYQ 400,147.42,113.22,HGL0725003BH,2027-07-01,0,IPCA LABORATORIES LTD,,,
pcs,HYQ 400,154.56,118.7,HGL074005BH,2026-08-01,0,IPCA LABORATORIES LTD,,,
pcs,HYQ 400,154.56,118.7,HGL074006BH,2026-10-01,0,IPCA LABORATORIES LTD,,,
pcs,HCQS TABLETS 200 MG,101.9,77.44,GPD0825020BH,2029-07-01,0,Ipca Laboratories Ltd.,,,
pcs,HCQS TABLETS 200 MG,108.7,82.62,GPD0825009BH,2029-04-01,0,Ipca Laboratories Ltd.,,,
TABLET,RANTAC 150MG TAB,54.15,41.59,TR325105,2026-10-01,0,J B Chemicals and Pharmaceuticals Ltd,,,
CAPSULES,RAZEL CV 20/75MG TAB,262.32,201.46,XCRD24005,2026-08-01,0,J B Chemicals and Pharmaceuticals Ltd,,,
TABLET,SPORLAC DS TAB,173.98,133.63,BDS25003,2027-01-01,0,J B Chemicals and Pharmaceuticals Ltd,,,
pcs,NICARDIA RETARD 20MG,159.64,122.6,KKG25026,2028-08-01,0,J.B.CHEMICAL,,,
pcs,NICARDIA RETARD 20MG,159.64,123.88,AKG25010,2028-08-01,0,J.B.CHEMICAL,,,
mg,NICARDIA XL 30 MG,285.1,216.68,GNB25005,2027-02-01,0,J.B.CHEMICAL,,,
mg,NICARDIA XL 30 MG,285.1,216.68,GNB25008,2027-03-01,0,J.B.CHEMICAL,,,
1 VIAL,RYBREVANT 350MG INJ,98500.0,80000.0,PGS0410,2026-06-01,0,JANSSEN PHARMA,,,
1 VIAL,RYBREVANT 350MG INJ,98500.0,80000.0,PGS0423,2026-06-01,0,JANSSEN PHARMA,,,
TABLET,NERVIJEN D3 TAB,380.91,239.71,NVD212504,2026-10-01,0,JENBURKT PHARMACEUTICALS,,,
VIAL,ACYPROVE 500MG INJ,521.25,36.75,GD25G-01,2028-02-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,ADREFORD INJ 1ML,12.5,3.51,L1602528A,2027-08-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
,ALENTREAT -70,151.88,17.32,T253230,2027-10-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
VIAL,AMIKAREX 500MG INJ,115.7,21.0,JUN37,2027-05-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,ATRACURIUM BESYLATE 50 INJ 5ML,150.0,32.02,L1482503A,2028-02-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,ATRACURIUM BESYLATE 50 INJ 5ML,150.0,32.02,L1482512A,2028-11-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,ATROPINE SULPHATE 0.6MG INJ,7.32,1.73,092517,2028-08-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,ATROPINE SULPHATE 0.6MG INJ,7.32,1.73,102508,2028-09-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,ATROPINE SULPHATE 0.6MG INJ,4.79,2.31,AT24N1A,2026-10-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,ATROPINE SULPHATE 0.6MG INJ,7.32,2.31,062513,2028-05-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,ATROPINE SULPHATE 0.6MG INJ,7.32,2.31,082511,2028-07-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
pcs,CABERMAX-0.5 (OVAL),337.5,68.25,T253640,2028-11-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
VIAL,CARDRELIN -2ML INJ 2ML,45.0,10.64,SAI-24991C,2027-03-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,CLEXCLOT 40MG INJ 0.4ML,200.0,65.1,L1532541A,2028-06-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,CLEXCLOT 60MG INJ 0.6ML,220.0,85.05,L1542551A,2028-09-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
CAPSULES,CLIFORD 150MG CAP,170.0,36.75,C-2503-07,2027-02-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
pcs,CLOMIFORD -50 MG,98.0,9.52,GTF0925,2027-03-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
pcs,CLOMIFORD -50 MG,98.0,9.52,GTF1437,2027-05-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
pcs,CLOMIFORD -50 MG,98.0,98.0,GTF0468,2027-02-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
TABLET,CLOMIYO 25MG TAB,69.0,14.56,GTE2441,2026-08-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
TABLET,CLOMIYO 25MG TAB,69.0,14.56,GTF1482,2027-05-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
TABLET,CLOMIYO 25MG TAB,64.69,15.75,GTF1482,2027-05-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
CAPSULES,CYCLOCLEAN 50MG,578.5,73.5,DC511034,2027-10-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
CAPSULES,CYCLOCLEAN 50MG,578.5,73.5,DC511034,2027-10-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
TABLET,DEETOR 0.5MG TAB,117.5,15.4,TTP-24246,2026-11-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
pcs,DOBUMIDE-50 MG INJ 5 ML,47.35,15.12,L0272509C,2027-07-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
pcs,DOBUMIDE-50 MG INJ 5 ML,50.51,18.48,L0272501D,2026-12-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
INJ,DOPACTIVE INJ 5ML,24.84,8.19,SAI-25212A,2027-05-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
pcs,DORZOLAM 2% EYE DROPS,265.31,63.0,GE25H-08A,2028-05-01,0,JOHNLEE PHARMACEUTICALS PVT.LTD..,,,
